LUGAR	HORA	FECHA	Alcatraz adulto	Alcatraz inmaduro	Alcatraz juvenil	Gaviota patiamarilla	Gaviota sombr¡a	Gaviota arg‚ntea europea	Gaviota c spica	Gaviota reidora	Gaviota trid ctila	Gaviota cabecinegra	Gaviota cana	Gaviota enana	Gavi¢n atl ntico	Gavi¢n hiperb¢reo	Gaviota peque¤a	Pardela balear	Pardela mediterr nea	Pardela pichoneta	Pardela sombr¡a	Pardela cenicienta	Pardela capirotada	Pardela sp	Pa¡¤o europeo	Pa¡¤o boreal	Fulmar boreal	Cormor n mo¤udo	Alcarao	Arao com£n	Alca com£n	Frailecillo atl ntico	M‚rgulo atl ntico	P galo grande	P galo pomarino	P galo par sito	P galo rabero	Negr¢n com£n	Negr¢n especulado	Barnacla carinegra	Tarro blanco	µnade	µnade azul¢n	Cerceta com£n	µnade rabudo	Silb¢n europeo	Pato havelda	Cuchara com£n	Sterna sp	Charr n com£n	Charr n comic	Charr n patinegro	Fumarel com£n	Pagaza piquirroja	Pagaza piconegra	Lim¡cola	Vuelvepiedras com£n	Avoceta com£n	Aguja colipinta	Chorlito gris	Chorlito dorado europeo	Chorlitejo chico	Chorlitejo grande	Falaropo picogrueso	Archibebe com£n	Zarapito trinador	Zarapito real	Zarapito ?	Correlimos sp	Andarr¡os chico	Ostrero euroasi tico	Esp tula	Garceta com£n	Garceta grande	Garza real	Garza imperial	Garcilla bueyera	Colimbo grande	Colimbo chico	Colimbo  rtico	Cormor n grande	Fring¡lido	Jilguero	Lavandera blanca	Lavandera boyera	Lavandera cascade¤a	Urraca	Cuervo grande	µguila pescadora	Aguilucho p lido	Golondrina com£n	Avi¢n com£n	Vencejo com£n	Tortola europea	Alaudido	Alondra com£n	Pinz¢n vulgar	Bisbita	Bisbita pratense	Busardo ratonero	Mart¡n pescador	Halc¢n peregrino	Mosquitero musical	Paloma torcaz	Zorzal alirrojo	Zorzal com£n	Petirrojo	Colirrojo tiz¢n	Verder¢n com£n	Milano negro	Delf¡n mular	Delf¡n com£n	Marsopa	Yubarta	Delf¡n	Pez luna	T£nido	At£n rojo
BIMEP BAJO A	11:00-11:30	09/08/2019																																																																																																																				
BIMEP BAJO E	11:00-11:30	09/08/2019																																																																																																																				
BIMEP ALTO W	11:00-11:30	09/08/2019				13																																																																																																																
BIMEP ALTO E	11:00-11:30	09/08/2019				1																																																																																																																
POSBIMEP W	11:00-11:30	09/08/2019																																																																																																																				
POSBIMEP A	11:00-11:30	09/08/2019																																																																																																																				
POSBIMEP E	11:00-11:30	09/08/2019																																																																																																																				
PREBIMEP W	17:15-17:45	09/08/2019				9		1																																																																																																														
PREBIMEP A	17:15-17:45	09/08/2019																																																																																																																				
PREBIMEP E	17:15-17:45	09/08/2019				3																																																																																																																
BIMEP BAJO W	17:15-17:45	09/08/2019				2												1																																																																																																				
BIMEP BAJO A	17:15-17:45	09/08/2019	1	1																																																																																																																		
BIMEP BAJO E	17:15-17:45	09/08/2019		2		17																																																																																																																
BIMEP ALTO W	17:15-17:45	09/08/2019	1	1		21																																																																																																																
BIMEP ALTO E	17:15-17:45	09/08/2019	2	7		1																																																																																																																
POSBIMEP W	17:15-17:45	09/08/2019																																																																																																																				
POSBIMEP A	17:15-17:45	09/08/2019																																																																																																																				
POSBIMEP E	17:15-17:45	09/08/2019																																																																																																																				
PREBIMEP W	17:45-18:15	09/08/2019	1	5		4																																																																																																																
PREBIMEP A	17:45-18:15	09/08/2019																																																																																																																				
PREBIMEP E	17:45-18:15	09/08/2019				1																																																																																																																
BIMEP BAJO W	17:45-18:15	09/08/2019				3																																																																																																																
BIMEP BAJO A	17:45-18:15	09/08/2019																																																																																																																				
BIMEP BAJO E	17:45-18:15	09/08/2019				8												1																																																																																																				
BIMEP ALTO W	17:45-18:15	09/08/2019	2	18		61																																																																																																																
BIMEP ALTO E	17:45-18:15	09/08/2019				12																																																																																																																
POSBIMEP W	17:45-18:15	09/08/2019																																																																																																																				
POSBIMEP A	17:45-18:15	09/08/2019																																																																																																																				
POSBIMEP E	17:45-18:15	09/08/2019																																																																																																																				
PREBIMEP W	18:15-18:45	09/08/2019	1	1		2																																																																																																																
PREBIMEP A	18:15-18:45	09/08/2019																																																																																																																				
PREBIMEP E	18:15-18:45	09/08/2019				2																																																																																																																
BIMEP BAJO W	18:15-18:45	09/08/2019				50																																																																																																																
BIMEP BAJO A	18:15-18:45	09/08/2019																																																																																																																				
BIMEP BAJO E	18:15-18:45	09/08/2019																																																																																																																				
BIMEP ALTO W	18:15-18:45	09/08/2019	8	34		61																																																																																																																
BIMEP ALTO E	18:15-18:45	09/08/2019				40																																																																																																																
POSBIMEP W	18:15-18:45	09/08/2019																																																																																																																				
POSBIMEP A	18:15-18:45	09/08/2019																																																																																																																				
POSBIMEP E	18:15-18:45	09/08/2019																																																																																																																				
PREBIMEP W	18:45-19:15	09/08/2019				7																																																																																																																
PREBIMEP A	18:45-19:15	09/08/2019																																																																																																																				
PREBIMEP E	18:45-19:15	09/08/2019				7																																																																																																																
BIMEP BAJO W	18:45-19:15	09/08/2019																																																																																																																				
BIMEP BAJO A	18:45-19:15	09/08/2019				300																																																																																																																
BIMEP BAJO E	18:45-19:15	09/08/2019																1																																																																																																				
BIMEP ALTO W	18:45-19:15	09/08/2019		3		12																																																																																																																
BIMEP ALTO E	18:45-19:15	09/08/2019				2																																																																																																																
POSBIMEP W	18:45-19:15	09/08/2019																																																																																																																				
POSBIMEP A	18:45-19:15	09/08/2019																																																																																																																				
POSBIMEP E	18:45-19:15	09/08/2019																																																																																																																				
PREBIMEP W	19:15-19:45	09/08/2019				1																																																																																																																
PREBIMEP A	19:15-19:45	09/08/2019																										1																																																																																										
PREBIMEP E	19:15-19:45	09/08/2019				1																																																																																																																
BIMEP BAJO W	19:15-19:45	09/08/2019				7																																																																																																																
BIMEP BAJO A	19:15-19:45	09/08/2019				50												1																																																																																																				
BIMEP BAJO E	19:15-19:45	09/08/2019																																																																																																																				
BIMEP ALTO W	19:15-19:45	09/08/2019	2	10		4																																																																																																																
BIMEP ALTO E	19:15-19:45	09/08/2019				2																																																																																																																
POSBIMEP W	19:15-19:45	09/08/2019		2																																																																																																																		
POSBIMEP A	19:15-19:45	09/08/2019																																																																																																																				
POSBIMEP E	19:15-19:45	09/08/2019																																																																																																																				
PREBIMEP W	19:45-20:15	09/08/2019																																																																																																																				
PREBIMEP A	19:45-20:15	09/08/2019																																																																																																																				
PREBIMEP E	19:45-20:15	09/08/2019																																																																																																																				
BIMEP BAJO W	19:45-20:15	09/08/2019				2																																																																																																																
BIMEP BAJO A	19:45-20:15	09/08/2019																																																																																																																				
BIMEP BAJO E	19:45-20:15	09/08/2019				26												2																																																																																																				
BIMEP ALTO W	19:45-20:15	09/08/2019				15																																																																																																																
BIMEP ALTO E	19:45-20:15	09/08/2019				6																																																																																																																
POSBIMEP W	19:45-20:15	09/08/2019	1	1																																																																																																																		
POSBIMEP A	19:45-20:15	09/08/2019																																																																																																																				
POSBIMEP E	19:45-20:15	09/08/2019																																																																																																																				
PREBIMEP W	9:00-9:30	29/08/2019																																																																																																																				
PREBIMEP A	9:00-9:30	29/08/2019																																																																																																																				
PREBIMEP E	9:00-9:30	29/08/2019				3																																																																																																																
BIMEP BAJO W	9:00-9:30	29/08/2019																																																	4																																																																			
BIMEP BAJO A	9:00-9:30	29/08/2019																																																																																																																				
BIMEP BAJO E	9:00-9:30	29/08/2019	1																																																																																																																			
BIMEP ALTO W	9:00-9:30	29/08/2019				3																																																																																																																
BIMEP ALTO E	9:00-9:30	29/08/2019				1																																																																																																																
POSBIMEP W	9:00-9:30	29/08/2019																																																																																																																				
POSBIMEP A	9:00-9:30	29/08/2019																																																																																																																				
POSBIMEP E	9:00-9:30	29/08/2019				3																																																																																																																
PREBIMEP W	9:30-10:00	29/08/2019																																																																									1																																											
PREBIMEP A	9:30-10:00	29/08/2019																																																																																																																				
PREBIMEP E	9:30-10:00	29/08/2019				1																																																																																																																
BIMEP BAJO W	9:30-10:00	29/08/2019		2																																																																																																																		
BIMEP BAJO A	9:30-10:00	29/08/2019																																																																																																																				
BIMEP BAJO E	9:30-10:00	29/08/2019																																																																																																													30							
BIMEP ALTO W	9:30-10:00	29/08/2019				1																																																																																																																
BIMEP ALTO E	9:30-10:00	29/08/2019																																																																																																																				
POSBIMEP W	9:30-10:00	29/08/2019																																																																																																																				
POSBIMEP A	9:30-10:00	29/08/2019																																																																																																																				
POSBIMEP E	9:30-10:00	29/08/2019																																																																																																																				
PREBIMEP W	10:00-10:30	29/08/2019				4																																																																																																																
PREBIMEP A	10:00-10:30	29/08/2019																										2																																																																																										
PREBIMEP E	10:00-10:30	29/08/2019				1																																																																																																																
BIMEP BAJO W	10:00-10:30	29/08/2019	1	1																																																																																																																		
BIMEP BAJO A	10:00-10:30	29/08/2019																																																																																																																				
BIMEP BAJO E	10:00-10:30	29/08/2019				1																																																																																																																
BIMEP ALTO W	10:00-10:30	29/08/2019				5																																																																																																																
BIMEP ALTO E	10:00-10:30	29/08/2019				3																																																																																																																
POSBIMEP W	10:00-10:30	29/08/2019																																																																																																																				
POSBIMEP A	10:00-10:30	29/08/2019																																																																																																																				
POSBIMEP E	10:00-10:30	29/08/2019																																																																																																																				
PREBIMEP W	10:30-11:00	29/08/2019				2																																																																																																																
PREBIMEP A	10:30-11:00	29/08/2019																										2																																																																																										
PREBIMEP E	10:30-11:00	29/08/2019				1																																																																																																																
BIMEP BAJO W	10:30-11:00	29/08/2019			1																																																																																																																	
BIMEP BAJO A	10:30-11:00	29/08/2019																																																																																																																				
BIMEP BAJO E	10:30-11:00	29/08/2019				11																																																																																																																
BIMEP ALTO W	10:30-11:00	29/08/2019	1	1	1	4																																																																																																																
BIMEP ALTO E	10:30-11:00	29/08/2019				4																																																																																																																
POSBIMEP W	10:30-11:00	29/08/2019																																																																																																																				
POSBIMEP A	10:30-11:00	29/08/2019																																																																																																																				
POSBIMEP E	10:30-11:00	29/08/2019																																																																																																																				
PREBIMEP W	11:00-11:30	29/08/2019								3																																																																	3																																											
PREBIMEP A	11:00-11:30	29/08/2019																																																																																																																				
PREBIMEP E	11:00-11:30	29/08/2019																																																																																																																				
BIMEP BAJO W	11:00-11:30	29/08/2019																										1																																																																																										
BIMEP BAJO A	11:00-11:30	29/08/2019																																																																																																																				
BIMEP BAJO E	11:00-11:30	29/08/2019																																																																																																																				
BIMEP ALTO W	11:00-11:30	29/08/2019																																																																																																																				
BIMEP ALTO E	11:00-11:30	29/08/2019				7																																																																																																																
POSBIMEP W	11:00-11:30	29/08/2019																																																																																																																				
POSBIMEP A	11:00-11:30	29/08/2019																																																																																																																				
POSBIMEP E	11:00-11:30	29/08/2019				2																																																																																																																
PREBIMEP W	11:30-12:00	29/08/2019																																																																																																																				
PREBIMEP A	11:30-12:00	29/08/2019																																																																																																																				
PREBIMEP E	11:30-12:00	29/08/2019				3																																																																																																																
BIMEP BAJO W	11:30-12:00	29/08/2019	1																																																																																																																			
BIMEP BAJO A	11:30-12:00	29/08/2019																																																																																																																				
BIMEP BAJO E	11:30-12:00	29/08/2019																																																																																																																				
BIMEP ALTO W	11:30-12:00	29/08/2019				2																																																																																																																
BIMEP ALTO E	11:30-12:00	29/08/2019				11																																																																																																																
POSBIMEP W	11:30-12:00	29/08/2019																																																																																																																				
POSBIMEP A	11:30-12:00	29/08/2019																																																																																																																				
POSBIMEP E	11:30-12:00	29/08/2019				4																																																																																																																
PREBIMEP W	16:00-16:30	29/08/2019	1			2																																																																																																																
PREBIMEP A	16:00-16:30	29/08/2019																																																																																																																				
PREBIMEP E	16:00-16:30	29/08/2019				1																																																																																																																
BIMEP BAJO W	16:00-16:30	29/08/2019				8																																																																																																																
BIMEP BAJO A	16:00-16:30	29/08/2019				50																																																																																																																
BIMEP BAJO E	16:00-16:30	29/08/2019																																																																																																																				
BIMEP ALTO W	16:00-16:30	29/08/2019				25																																																																																																																
BIMEP ALTO E	16:00-16:30	29/08/2019				25																																																																																																																
POSBIMEP W	16:00-16:30	29/08/2019																																																																																																																				
POSBIMEP A	16:00-16:30	29/08/2019																																																																																																																				
POSBIMEP E	16:00-16:30	29/08/2019																																																																																																																				
PREBIMEP W	16:30-17:00	29/08/2019				3																																																																																																																
PREBIMEP A	16:30-17:00	29/08/2019																																																																																																																				
PREBIMEP E	16:30-17:00	29/08/2019				9																																																																																																																
BIMEP BAJO W	16:30-17:00	29/08/2019																																																																																																																				
BIMEP BAJO A	16:30-17:00	29/08/2019																																																																																																																				
BIMEP BAJO E	16:30-17:00	29/08/2019																																																																																																																				
BIMEP ALTO W	16:30-17:00	29/08/2019				8																																																																																																																
BIMEP ALTO E	16:30-17:00	29/08/2019				8																																																																																																																
POSBIMEP W	16:30-17:00	29/08/2019																																																																																																																				
POSBIMEP A	16:30-17:00	29/08/2019																																																																																																																				
POSBIMEP E	16:30-17:00	29/08/2019																																																																																																																				
PREBIMEP W	17:00-17:30	29/08/2019																																																																																																																				
PREBIMEP A	17:00-17:30	29/08/2019																																																																																																																				
PREBIMEP E	17:00-17:30	29/08/2019																																																																																																																				
BIMEP BAJO W	17:00-17:30	29/08/2019				7																																																																																																																
BIMEP BAJO A	17:00-17:30	29/08/2019																																																																																																																				
BIMEP BAJO E	17:00-17:30	29/08/2019				18																																																																																																																
BIMEP ALTO W	17:00-17:30	29/08/2019		1		33																																																																																																																
BIMEP ALTO E	17:00-17:30	29/08/2019				68																																																																																																																
POSBIMEP W	17:00-17:30	29/08/2019																																																																																																																				
POSBIMEP A	17:00-17:30	29/08/2019																																																																																																																				
POSBIMEP E	17:00-17:30	29/08/2019																																																																																																																				
PREBIMEP W	17:30-18:00	29/08/2019																																																																																																																				
PREBIMEP A	17:30-18:00	29/08/2019																																																																																																																				
PREBIMEP E	17:30-18:00	29/08/2019				2																																																																																																																
BIMEP BAJO W	17:30-18:00	29/08/2019																																																																																																																				
BIMEP BAJO A	17:30-18:00	29/08/2019																																																																																																																				
BIMEP BAJO E	17:30-18:00	29/08/2019				4																																																																																																																
BIMEP ALTO W	17:30-18:00	29/08/2019	1		2	23																																																																																																																
BIMEP ALTO E	17:30-18:00	29/08/2019	1			38																																																																																																																
POSBIMEP W	17:30-18:00	29/08/2019	1																																																																																																																			
POSBIMEP A	17:30-18:00	29/08/2019																																																																																																																				
POSBIMEP E	17:30-18:00	29/08/2019																																																																																																																				
PREBIMEP W	18:00-18:30	29/08/2019				1																																																																																																																
PREBIMEP A	18:00-18:30	29/08/2019																																																																																																																				
PREBIMEP E	18:00-18:30	29/08/2019				2																																																																																																																
BIMEP BAJO W	18:00-18:30	29/08/2019				1																																																																																																																
BIMEP BAJO A	18:00-18:30	29/08/2019																																																																																																																				
BIMEP BAJO E	18:00-18:30	29/08/2019				3																																																																																																																
BIMEP ALTO W	18:00-18:30	29/08/2019	2	1		37																																																																																																																
BIMEP ALTO E	18:00-18:30	29/08/2019		1		25																																																																																																																
POSBIMEP W	18:00-18:30	29/08/2019																																																																																																																				
POSBIMEP A	18:00-18:30	29/08/2019																																																																																																																				
POSBIMEP E	18:00-18:30	29/08/2019		1																																																																																																																		
PREBIMEP W	18:30-19:00	29/08/2019																																																																																																																				
PREBIMEP A	18:30-19:00	29/08/2019																																																																																																																				
PREBIMEP E	18:30-19:00	29/08/2019																																																																																																																				
BIMEP BAJO W	18:30-19:00	29/08/2019	1																																																																																																																			
BIMEP BAJO A	18:30-19:00	29/08/2019																																																																																																																				
BIMEP BAJO E	18:30-19:00	29/08/2019	1			2																																																																																																																
BIMEP ALTO W	18:30-19:00	29/08/2019				19																																																																																																																
BIMEP ALTO E	18:30-19:00	29/08/2019				26																																																																																																																
POSBIMEP W	18:30-19:00	29/08/2019		1																																																																																																																		
POSBIMEP A	18:30-19:00	29/08/2019																																																																																																																				
POSBIMEP E	18:30-19:00	29/08/2019																																																																																																																				
PREBIMEP W	9:30-10:00	10/09/2019				19	15																																																																																															1																
PREBIMEP A	9:30-10:00	10/09/2019																																																																																																																				
PREBIMEP E	9:30-10:00	10/09/2019																																																																																																																				
BIMEP BAJO W	9:30-10:00	10/09/2019																																		1																																																																																		
BIMEP BAJO A	9:30-10:00	10/09/2019																																																																																																																				
BIMEP BAJO E	9:30-10:00	10/09/2019																																																																																																																				
BIMEP ALTO W	9:30-10:00	10/09/2019					2																																																																																																															
BIMEP ALTO E	9:30-10:00	10/09/2019				3																																																																																																																
POSBIMEP W	9:30-10:00	10/09/2019																																																																																																																				
POSBIMEP A	9:30-10:00	10/09/2019																																																																																																																				
POSBIMEP E	9:30-10:00	10/09/2019																																																																																																																				
PREBIMEP W	10:00-10:30	10/09/2019				42	62	1																																																																																																														
PREBIMEP A	10:00-10:30	10/09/2019																																																																																																																				
PREBIMEP E	10:00-10:30	10/09/2019																																																																																																																				
BIMEP BAJO W	10:00-10:30	10/09/2019	2	2		1															4																																																																																																	
BIMEP BAJO A	10:00-10:30	10/09/2019																																																																																																																				
BIMEP BAJO E	10:00-10:30	10/09/2019																																																																																																																				
BIMEP ALTO W	10:00-10:30	10/09/2019																																																																																																																				
BIMEP ALTO E	10:00-10:30	10/09/2019				3																																																																																																																
POSBIMEP W	10:00-10:30	10/09/2019																																																																																																																				
POSBIMEP A	10:00-10:30	10/09/2019																																																																																																																				
POSBIMEP E	10:00-10:30	10/09/2019																																																																																																																				
PREBIMEP W	10:30-11:00	10/09/2019				5	6																																																																																				2																											
PREBIMEP A	10:30-11:00	10/09/2019																																																																																																																				
PREBIMEP E	10:30-11:00	10/09/2019				1																																																																																																																
BIMEP BAJO W	10:30-11:00	10/09/2019	1		2																17																																																																																																	
BIMEP BAJO A	10:30-11:00	10/09/2019																																																																																																																				
BIMEP BAJO E	10:30-11:00	10/09/2019																																																																																																																				
BIMEP ALTO W	10:30-11:00	10/09/2019																																																																																																																				
BIMEP ALTO E	10:30-11:00	10/09/2019				2																																																																																																																
POSBIMEP W	10:30-11:00	10/09/2019																																																																																																																				
POSBIMEP A	10:30-11:00	10/09/2019																																																																																																																				
POSBIMEP E	10:30-11:00	10/09/2019																																																																																																																				
PREBIMEP W	11:00-11:30	10/09/2019				4																																																																																																																
PREBIMEP A	11:00-11:30	10/09/2019																																																																																																																				
PREBIMEP E	11:00-11:30	10/09/2019				5																																																																																																																
BIMEP BAJO W	11:00-11:30	10/09/2019	1	1		4	1											1			17													1														15																																																																						
BIMEP BAJO A	11:00-11:30	10/09/2019																																																																																																																				
BIMEP BAJO E	11:00-11:30	10/09/2019				1																																																																																																																
BIMEP ALTO W	11:00-11:30	10/09/2019																																																																																																																				
BIMEP ALTO E	11:00-11:30	10/09/2019																																																																																																																				
POSBIMEP W	11:00-11:30	10/09/2019																																																																																																																				
POSBIMEP A	11:00-11:30	10/09/2019																																																																																																																				
POSBIMEP E	11:00-11:30	10/09/2019																																																																																																																				
PREBIMEP W	12:00-12:30	10/09/2019				3	6																																																																																																															
PREBIMEP A	12:00-12:30	10/09/2019																																																																																																																				
PREBIMEP E	12:00-12:30	10/09/2019																																																																																																																				
BIMEP BAJO W	12:00-12:30	10/09/2019	5	1																	4																											30			2	1						2													1				16																																											
BIMEP BAJO A	12:00-12:30	10/09/2019																																																																																																																				
BIMEP BAJO E	12:00-12:30	10/09/2019				3																																																																																																																
BIMEP ALTO W	12:00-12:30	10/09/2019																																																																																																																				
BIMEP ALTO E	12:00-12:30	10/09/2019				1																																																																																																																
POSBIMEP W	12:00-12:30	10/09/2019																																																																																																																				
POSBIMEP A	12:00-12:30	10/09/2019																																																																																																																				
POSBIMEP E	12:00-12:30	10/09/2019																																																																																																																				
PREBIMEP W	12:30-13:00	10/09/2019				3	19																																																																																																															
PREBIMEP A	12:30-13:00	10/09/2019																																																																																																																				
PREBIMEP E	12:30-13:00	10/09/2019				1	1																																																																																																															
BIMEP BAJO W	12:30-13:00	10/09/2019	15	15	10	2															28																											60									1												10																																																	
BIMEP BAJO A	12:30-13:00	10/09/2019																																																																																																																				
BIMEP BAJO E	12:30-13:00	10/09/2019																																																																																																																				
BIMEP ALTO W	12:30-13:00	10/09/2019																																																																																																																				
BIMEP ALTO E	12:30-13:00	10/09/2019																																																																																																																				
POSBIMEP W	12:30-13:00	10/09/2019																																																																																																																				
POSBIMEP A	12:30-13:00	10/09/2019																																																																																																																				
POSBIMEP E	12:30-13:00	10/09/2019																																																																																																																				
PREBIMEP W	15:30-16:00	10/09/2019																																																																																																																				
PREBIMEP A	15:30-16:00	10/09/2019																																																																																																																				
PREBIMEP E	15:30-16:00	10/09/2019																																																																																																																				
BIMEP BAJO W	15:30-16:00	10/09/2019	9	14	13	3																																													1																																																																			
BIMEP BAJO A	15:30-16:00	10/09/2019																																																																																																																				
BIMEP BAJO E	15:30-16:00	10/09/2019																																																																																																																				
BIMEP ALTO W	15:30-16:00	10/09/2019																																																																																																																				
BIMEP ALTO E	15:30-16:00	10/09/2019																																																																																																																				
POSBIMEP W	15:30-16:00	10/09/2019																																																																																																																				
POSBIMEP A	15:30-16:00	10/09/2019																																																																																																																				
POSBIMEP E	15:30-16:00	10/09/2019																																																																																																																				
PREBIMEP W	16:15-16:45	10/09/2019	1																																																																																																																			
PREBIMEP A	16:15-16:45	10/09/2019																																																																																																																				
PREBIMEP E	16:15-16:45	10/09/2019																																																																																																																				
BIMEP BAJO W	16:15-16:45	10/09/2019	4	12	11																1																																																																																																	
BIMEP BAJO A	16:15-16:45	10/09/2019																																																																																																																				
BIMEP BAJO E	16:15-16:45	10/09/2019				1																																																																																																																
BIMEP ALTO W	16:15-16:45	10/09/2019																																											4																																																																									
BIMEP ALTO E	16:15-16:45	10/09/2019																																																																																																																				
POSBIMEP W	16:15-16:45	10/09/2019																																																																																																																				
POSBIMEP A	16:15-16:45	10/09/2019																																																																																																																				
POSBIMEP E	16:15-16:45	10/09/2019																																																																																																																				
PREBIMEP W	16:45-17:15	10/09/2019				1																																																																																																																
PREBIMEP A	16:45-17:15	10/09/2019																																																																																																																				
